"Rank","Name","Symbol","marketcap","price (USD)","country"
"213","American Tower","AMT","95813517312","204.62","United States"
"214","Dell","DELL","95802744832","141.64","United States"
"215","Compagnie Financière Richemont","CFR.SW","95498302795","162.429","Switzerland"
"216","Intel","INTC","95462367232","21.81","United States"
"217","Dior","CDI.PA","94844402420","525.713","France"
"218","Bristol-Myers Squibb","BMY","94749728768","46.55","United States"
"219","China Yangtze Power","600900.SS","94166133302","3.84851","China"
"220","Enel","ENEL.MI","93931974855","9.25666","Italy"
"221","Waste Management","WM","93851336704","232.98","United States"
"222","Mitsubishi Heavy Industries","7011.T","93312121222","27.7907","Japan"
"223","Keyence","6861.T","92834178301","382.782","Japan"
"224","Investor AB","INVE-B.ST","92670468370","30.2413","Sweden"
"225","Moody's","MCO","92558213120","516.05","United States"
"226","Foxconn (Hon Hai Precision Industry)","2317.TW","92057180731","6.62749","Taiwan"
"227","HCA Healthcare","HCA","91330199552","390.31","United States"
"228","NTT (Nippon Telegraph &amp; Telephone)","9432.T","91135147904","1.10149","Japan"
"229","Sinopec","600028.SS","90972328149","0.796724","China"
"230","China Telecom","0728.HK","90474246040","0.793641","China"
"231","Cintas","CTAS","89989013504","223.31","United States"
"232","Roblox","RBLX","89796280320","129.53","United States"
"233","Sherwin-Williams","SHW","89283649536","358.09","United States"
"234","Recruit","6098.T","89259252605","62.4649","Japan"
"235","BP","BP","88100929536","34.07","United Kingdom"
"236","RELX","RELX","88064598016","47.83","United Kingdom"
"237","Bank of Communications","601328.SS","87491911394","1.0558","China"
"238","State Bank of India","SBIN.NS","86601540213","9.38199","India"
"239","O'Reilly Automotive","ORLY","86453362688","101.89","United States"
"240","Sberbank","SBER.ME","86182548573","3.99","Russia"
"241","CSL","CSL.AX","85265514052","176.091","Australia"
"242","Munich RE (Münchener Rück)","MUV2.DE","85192165966","657.316","Germany"
"243","Royal Caribbean Group","RCL","85041291264","313.08","United States"
"244","General Dynamics","GD","84466491392","314.01","United States"
"245","Tokio Marine","8766.T","84216862264","44.0324","Japan"
"246","3M","MMM","84075651072","157.85","United States"
"247","Rheinmetall","RHM.F","83890340739","1879.97","Germany"
"248","Northrop Grumman","NOC","83160686592","580.8","United States"
"249","CVS Health","CVS","83088302080","65.51","United States"
"250","NetEase","NTES","82929942528","130.97","China"
"251","Coinbase","COIN","82893332480","322.62","United States"
"252","Apollo Global Management","APO","82715107328","144.6","United States"
"253","Mitsubishi Corporation","8058.T","82515009970","21.4956","Japan"
"254","Vinci","DG.PA","82258518465","146.973","France"
"255","McKesson","MCK","81970298880","659.01","United States"
"256","Bank of Montreal","BMO","81809645568","113.25","Canada"
"257","Mizuho Financial Group","MFG","80110731264","6.43","Japan"
"258","Ferrari","RACE","79513747456","446.16","Italy"
"259","TransDigm Group","TDG","79493365760","1410.7","United States"
"260","Mondelez International","MDLZ","79435587584","61.39","United States"
"261","Southern Copper","SCCO","78999674880","98.25","United States"
"262","Motorola Solutions","MSI","78503804928","471.2","United States"
"263","Ecolab","ECL","78456340480","276.62","United States"
"264","Aon","AON","78447263744","363.81","United Kingdom"
"265","Zijin Mining","601899.SS","78378067740","2.92782","China"
"266","Itōchū Shōji","8001.T","77381425547","54.8715","Japan"
"267","GlaxoSmithKline","GSK","77061840896","38.22","United Kingdom"
"268","Equinix","EQIX","77050281984","787.32","United States"
"269","Midea","000333.SZ","76878829267","10.0036","China"
"270","Thomson Reuters","TRI","76763996160","170.31","Canada"
"271","National Australia Bank","NAB.AX","76155715203","24.9291","Australia"
"272","Illinois Tool Works","ITW","75929919488","260.48","United States"
"273","Petrobras","PBR","75872329728","12.24","Brazil"
"274","Newmont","NEM","75716165632","68.93","United States"
"275","Westpac Banking","WBC.AX","75704184954","22.1462","Australia"
"276","PNC Financial Services","PNC","75307712512","191.23","United States"
"277","Cement Roadstone Holding","CRH","75303198720","112.03","Ireland"
"278","The Cigna Group","CI","74865295360","280.47","United States"
"279","Emerson","EMR","74824261632","132.95","United States"
"280","Arthur J. Gallagher & Co.","AJG","74511908864","290.65","United States"
"281","Airbnb","ABNB","74454024192","121.61","United States"
"282","United Parcel Service","UPS","74103046144","87.43","United States"
"283","BNY Mellon (Bank of New York Mellon)","BK","73070026752","103.61","United States"
"284","Howmet Aerospace","HWM","72925495296","180.9","United States"
"285","Republic Services","RSG","72911798272","233.53","United States"
"286","MediaTek","2454.TW","72905352117","45.7414","Taiwan"
"287","QNB Finansbank","QNBTR.IS","72473055732","19.4792","Turkey"
"288","ING","ING","72389853184","24.45","Netherlands"
"289","CaixaBank","CABK.MC","72033378187","10.2244","Spain"
"290","Constellation Software","CSU.TO","72012059207","3398.16","Canada"
"291","Marriott International","MAR","71939080192","265.01","United States"
"292","Fiserv","FI","71928233984","132.32","United States"
"293","Barclays","BCS","71841153024","20.41","United Kingdom"
"294","Atlas Copco","ATCO-B.ST","71835665527","13.6146","Sweden"
"295","CoreWeave","CRWV","71617773568","148.75","United States"
"296","U.S. Bancorp","USB","71226818560","45.77","United States"
"297","Vistra","VST","71003119616","209.56","United States"
"298","Hong Kong Exchanges & Clearing","0388.HK","70808144073","56.0262","Hong Kong"
"299","ADNOC Gas","ADNOCGAS.AE","70633476108","0.92","United Arab Emirates"
"300","Williams Companies","WMB","70535356416","57.76","United States"
"301","Cloudflare","NET","70508363776","202.33","United States"
"302","National Grid","NGG","70451478528","70.28","United Kingdom"
"303","Scotiabank","BNS","70267117568","56.41","Canada"
"304","London Stock Exchange","LSEG.L","70162449952","125.632","United Kingdom"
"305","Deutsche Bank","DB","69919244288","36.3","Germany"
"306","Itaú Unibanco","ITUB","69892259840","7.1","Brazil"
"307","Johnson Controls","JCI","69783617536","106.64","Ireland"
"308","Chugai Pharmaceutical","4519.T","69604325919","42.2947","Japan"
"309","BAE Systems","BA.L","69305264601","23.6741","United Kingdom"
"310","Canadian Pacific Railway","CP","68826062848","74.97","Canada"
"311","Colgate-Palmolive","CL","68674539520","84.97","United States"
"312","Nongfu Spring","9633.HK","68568708617","6.09689","China"
"313","CIBC","CM","68312412160","73.06","Canada"
"314","KDDI","9433.T","68164605205","17.8375","Japan"
"315","Agnico Eagle Mines","AEM","68033593344","135.38","Canada"
"316","Enterprise Products","EPD","67858935808","31.34","United States"
"317","Bank Central Asia","BBCA.JK","67753588591","0.549738","Indonesia"
"318","Lloyds Banking Group","LYG","67542757376","4.53","United Kingdom"
"319","Infosys","INFY","67339083776","16.07","India"
"320","Industrial Bank","601166.SS","67207819158","3.17575","China"
"321","Tokyo Electron","8035.T","67187356607","146.662","Japan"
"322","Marvell Technology","MRVL","67087781888","77.81","United States"
"323","AutoZone","AZO","66926006272","4000.67","United States"
"324","Hindustan Unilever","HINDUNILVR.NS","66797344471","28.4294","India"
"325","CSX Corporation","CSX","66778509312","35.82","United States"
"326","Wuliangye Yibin","000858.SZ","66603833449","17.1588","China"
"327","Zoetis","ZTS","66375520256","149.77","United States"
"328","LG Energy Solution","373220.KS","65946255333","281.822","South Korea"
"329","Wesfarmers","WES.AX","65901474588","57.5343","Australia"
"330","Elevance Health","ELV","65860063232","292.48","United States"
"331","Grayscale Bitcoin Trust","GBTC","65124319232","94.06","United States"
"332","PayPal","PYPL","64937041920","67.97","United States"
"333","SMIC","0981.HK","64683789290","6.63066","China"
"334","EOG Resources","EOG","64432635904","118.01","United States"
"335","Snowflake","SNOW","64416010240","193.06","United States"
"336","Air Products and Chemicals","APD","64378191872","289.27","United States"
"337","Life Insurance Corporation of India (LIC)","LICI.NS","64311072585","10.1678","India"
"338","Simon Property Group","SPG","63830970368","169.22","United States"
"339","Mitsui Bussan","8031.T","63668797958","22.1514","Japan"
"340","Hilton Worldwide","HLT","63213088768","268.77","United States"
"341","Ares Management","ARES","62976040960","192.76","United States"
"342","Monster Beverage","MNST","62520684544","64.03","United States"
"343","Norfolk Southern","NSC","62424256512","278.24","United States"
"344","Canadian Natural Resources","CNQ","62209941504","29.9","Canada"
"345","BMW","BMW.DE","62151869139","102.034","Germany"
"346","ANZ Bank","ANZ.AX","62121661419","20.82","Australia"
"347","Equinor","EQNR","61970522112","24.32","Norway"
"348","Diageo","DEO","61914284032","111.44","United Kingdom"
"349","Volvo Group","VOLV-A.ST","61748618444","30.3827","Sweden"
"350","Rosneft","ROSN.ME","61169930199","5.78","Russia"
"351","CITIC Bank","601998.SS","61152087890","1.14912","China"
"352","Bajaj Finance","BAJFINANCE.NS","60902446766","9.80339","India"
"353","Siemens Healthineers","SHL.DE","60718398395","54.1374","Germany"
"354","Autodesk","ADSK","60552851456","283.03","United States"
"355","Freeport-McMoRan","FCX","60517707776","42.15","United States"
"356","Axon Enterprise","AXON","60336128000","768.57","United States"
"357","TE Connectivity","TEL","60319690752","204.14","Switzerland"
"358","Crédit Agricole","ACA.PA","60189891840","19.8457","France"
"359","Fortinet","FTNT","60128890880","78.47","United States"
"360","CITIC Securities","600030.SS","59891861294","4.12569","China"
"361","American Electric Power","AEP","59891691520","111.99","United States"
"362","Generali","G.MI","59877301358","39.2239","Italy"
"363","Energy Transfer Partners","ET","59694301184","17.39","United States"
"364","Delta Electronics (Thailand)","DELTA.BK","59628777751","4.78032","Thailand"
"365","The Travelers Companies","TRV","59419615232","263.93","United States"
"366","NatWest Group","NWG","59241418752","14.67","United Kingdom"
"367","ITC","ITC.NS","59188674798","4.72549","India"
"368","Nu Holdings","NU","59050778624","12.24","Brazil"
"369","Kinder Morgan","KMI","59018444800","26.56","United States"
"370","United Rentals","URI","58997665792","916.95","United States"
"371","Regeneron Pharmaceuticals","REGN","58987593728","556.555","United States"
"372","OCBC Bank","O39.SI","58916217234","13.1104","Singapore"
"373","Compass Group","CPG.L","58812807298","34.6408","United Kingdom"
"374","Digital Realty","DLR","58791194624","169.27","United States"
"375","Mercedes-Benz","MBG.DE","58656563143","60.9163","Germany"
"376","Canadian National Railway","CNI","58576920576","93.79","Canada"
"377","Delta Electronics","2308.TW","58540266257","22.5368","Taiwan"
"378","Quanta Services","PWR","58346278912","391.57","United States"
"379","Shanghai Pudong Development Bank","600000.SS","58306026829","1.92634","China"
"380","Jiangsu Hengrui Medicine","600276.SS","58183246099","8.72078","China"
"381","Advantest","6857.T","58165513069","79.4842","Japan"
"382","Larsen &amp; Toubro","LT.NS","57967028244","42.1468","India"
"383","Volkswagen","VOW3.DE","57848618047","113.932","Germany"
"384","America Movil","AMX","57646403584","19.08","Mexico"
"385","Japan Tobacco","2914.T","57635960622","32.4563","Japan"
"386","Chipotle Mexican Grill","CMG","57429893120","42.83","United States"
"387","Shin-Etsu Chemical","4063.T","57302405967","30.5969","Japan"
"388","Workday","WDAY","57211502592","214.6","United States"
"389","Compagnie de Saint-Gobain","SGO.PA","57102874129","115.171","France"
"390","Truist Financial","TFC","56748253184","44.01","United States"
"391","The Saudi National Bank","1180.SR","56641198514","9.52914","Saudi Arabia"
"392","Merck KGaA","MRK.DE","56506909958","129.967","Germany"
"393","Alnylam Pharmaceuticals","ALNY","56354795520","429.93","United States"
"394","Corning","GLW","56322699264","65.75","United States"
"395","Thales","HO.PA","56239942291","273.843","France"
"396","Saudi Telecom Company","7010.SR","56217743267","11.2666","Saudi Arabia"
"397","Infineon","IFX.DE","56100354671","43.1744","Germany"
"398","Cencora","COR","56059822080","289.15","United States"
"399","Carrier Global","CARR","55937744896","65.73","United States"
"400","Roper Technologies","ROP","55905472512","519.5","United States"
"401","Becton Dickinson","BDX","55880802304","194.96","United States"
"402","Fastenal","FAST","55603163136","48.45","United States"
"403","NXP Semiconductors","NXPI","55477907456","220.05","Netherlands"
"404","DSV","DSV.VI","55397188854","234.689","Denmark"
"405","Aflac","AFL","55381753856","103.55","United States"
"406","Adyen","ADYEN.AS","55287320691","1717.16","Netherlands"
"407","Lukoil","LKOH.ME","55279713638","79.78","Russia"
"408","Nasdaq","NDAQ","55158910976","96.13","United States"
"409","Cummins","CMI","54984880128","399.06","United States"
"410","DHL Group (Deutsche Post)","DHL.DE","54884882468","48.4806","Germany"
"411","Vertiv Holdings","VRT","54881927168","143.72","United States"
"412","Swiss Re","SREN.SW","54878416468","186.616","Switzerland"
"413","Grupo México","GMBXF","54768119808","6.99","Mexico"
"414","Allstate","ALL","54482292736","206.76","United States"
"415","FedEx","FDX","54355849216","230.42","United States"
"416","Ma'aden","1211.SR","54345216314","14.0033","Saudi Arabia"
"417","Deutsche Börse","DB1.DE","54215050508","295.816","Germany"
"418","East Money Information","300059.SZ","54107908077","3.42368","China"
"419","First Abu Dhabi Bank","FAB.AE","53782799403","4.87","United Arab Emirates"
"420","ENGIE","ENGI.PA","53696664272","21.9261","France"
"421","Macquarie","MQG.AX","53620394466","139.214","Australia"
"422","Nordea Bank","NDA-FI.HE","53563079905","15.533","Finland"
"423","Sempra Energy","SRE","53561425920","82.09","United States"
"424","Samsung Biologics","207940.KS","53557653613","752.489","South Korea"
"425","Danone","BN.PA","53397774996","82.9126","France"
"426","3i Group","III.L","53314918053","55.2238","United Kingdom"
"427","Société Générale","GLE.PA","52992957492","67.7419","France"
"428","Universal Music Group","UMG.AS","52857750236","28.4362","Netherlands"
"429","Realty Income","O","52718882816","57.66","United States"
"430","Walmex","WMMVF","52589371392","3.02","Mexico"
"431","Dominion Energy","D","52324040704","61.31","United States"
"432","ENI","E","52314599424","34.69","Italy"
"433","Singtel","Z74.SI","52286446577","3.16646","Singapore"
"434","IDEXX Laboratories","IDXX","52184670208","652.27","United States"
"435","TC Energy","TRP","52113137664","50.09","Canada"
"436","Paccar","PCAR","51958939648","98.95","United States"
"437","Mitsubishi Electric","6503.T","51598833719","25.0522","Japan"
"438","General Motors","GM","51564544000","54.16","United States"
"439","Coupang","CPNG","51301187584","28.14","United States"
"440","Manulife Financial","MFC","51233292288","30.15","Canada"
"441","MetLife","MET","50914385920","76.56","United States"
"442","MPLX","MPLX","50800640000","49.85","United States"
"443","Flutter Entertainment","FLUT","50698645504","288.38","Ireland"
"444","Bank of China (Hong Kong)","2388.HK","50696212121","4.79497","Hong Kong"
"445","L3Harris Technologies","LHX","50554941440","270.21","United States"
"446","Cheniere Energy","LNG","50496094208","229.77","United States"
"447","Naspers","NPSNY","50184441856","63.98","South Africa"
"448","Cambricon Technologies","688256.SS","50112963340","119.787","China"
"449","Reckitt Benckiser","RKT.L","50025496866","73.7308","United Kingdom"
"450","Loblaw Companies","L.TO","49862383053","167.759","Canada"
"451","PICC Property and Casualty Company Limited","2328.HK","49388146950","2.22041","China"
"452","QNB (Qatar National Bank)","QNBK.QA","49234688269","5.39835","Qatar"
"453","Public Storage","PSA","49211056128","280.48","United States"
"454","SLB (Schlumberger)","SLB","49135607808","32.94","United States"
"455","Porsche","P911.DE","48893333516","53.0856","Germany"
"456","E.ON","EOAN.DE","48834909504","18.6886","Germany"
"457","Ameriprise Financial","AMP","48738418688","517","United States"
"458","Paychex","PAYX","48629338112","134.99","United States"
"459","Kroger","KR","48628023296","73.55","United States"
"460","Chandra Asri Petrochemical","TPIA.JK","48620146687","0.562057","Indonesia"
"461","Phillips 66","PSX","48511045632","120.04","United States"
"462","Ross Stores","ROST","48406507520","148","United States"
"463","Marathon Petroleum","MPC","48372621312","159.11","United States"
"464","Target","TGT","48280932352","106.26","United States"
"465","Corteva","CTVA","48236474368","71.03","United States"
"466","Waste Connections","WCN","48183160832","187.4","United States"
"467","Commerzbank","CBK.F","48152003473","42.7069","Germany"
"468","China Pacific Insurance","601601.SS","48114413828","5.25949","China"
"469","Alimentation Couche-Tard","ATD.TO","47941041932","50.5673","Canada"
